// Note : Å°(ID)¿Í ³»¿ëÀº ¹Ýµå½Ã ÅÇÀ¸·Î ±¸ºÐµÇ¾î¾ß ÇÕ´Ï´Ù.
//
IN_000_000	Swords [Dex]
ID_157_011	
IN_157_012	Dynamic Supreme Brook Gloves [A]
ID_157_012	
IN_157_013	Dynamic Supreme Reider Shirt [C]
ID_157_013	
IN_157_014	Dynamic Supreme Reider Pant [C]
ID_157_014	
IN_157_015	Dynamic Supreme Reider Shoes [C]
ID_157_015	
IN_157_016	Dynamic Supreme Reider Gloves [C]
ID_157_016	
IN_157_017	Dynamic Supreme Reider Shirt [B]
ID_157_017	
IN_157_018	Dynamic Supreme Reider Pant [B]
ID_157_018	
IN_157_019	Dynamic Supreme Reider Shoes [B]
ID_157_019	
IN_157_020	Dynamic Supreme Reider Gloves [B]
ID_157_020	
IN_157_021	Dynamic Supreme Reider Shirt [A]
ID_157_021	
IN_157_022	Dynamic Supreme Reider Pant [A]
ID_157_022	
IN_157_023	Dynamic Supreme Reider Shoes [A]
ID_157_023	
IN_157_024	Dynamic Supreme Reider Gloves [A]
ID_157_024	
IN_157_025	Dynamic Supreme Jeru Shirt [C]
ID_157_025	
IN_157_026	Dynamic Supreme Jeru Pant [C]
ID_157_026	
IN_157_027	Dynamic Supreme Jeru Shoes [C]
ID_157_027	
IN_157_028	Dynamic Supreme Jeru Gloves [C]
ID_157_028	
IN_157_029	Dynamic Supreme Jeru Shirt [B]
ID_157_029	
IN_157_030	Dynamic Supreme Jeru Pant [B]
ID_157_030	
IN_157_031	Dynamic Supreme Jeru Shoes [B]
ID_157_031	
IN_157_032	Dynamic Supreme Jeru Gloves [B]
ID_157_032	
IN_157_033	Dynamic Supreme Jeru Shirt [A]
ID_157_033	
IN_157_034	Dynamic Supreme Jeru Pant [A]
ID_157_034	
IN_157_035	Dynamic Supreme Jeru Shoes [A]
ID_157_035	
IN_157_036	Dynamic Supreme Jeru Gloves [A]
ID_157_036	
IN_157_037	Dynamic Supreme Azrael Shirt [C]
ID_157_037	
IN_157_038	Dynamic Supreme Azrael Pant [C]
ID_157_038	
IN_157_039	Dynamic Supreme Azrael Shoes [C]
ID_157_039	
IN_157_040	Dynamic Supreme Azrael Gloves [C]
ID_157_040	
IN_157_041	Dynamic Supreme Azrael Shirt [B]
ID_157_041	
IN_157_042	Dynamic Supreme Azrael Pant [B]
ID_157_042	
IN_157_043	Dynamic Supreme Azrael Shoes [B]
ID_157_043	
IN_157_044	Dynamic Supreme Azrael Gloves [B]
ID_157_044	
IN_157_045	Dynamic Supreme Azrael Shirt [A]
ID_157_045	
IN_157_046	Dynamic Supreme Azrael Pant [A]
ID_157_046	
IN_157_047	Dynamic Supreme Azrael Shoes [A]
ID_157_047	
IN_157_048	Dynamic Supreme Azrael Gloves [A]
ID_157_048	
IN_157_049	Dynamic Supreme Strom Shirt [C]
ID_157_049	
IN_157_050	Dynamic Supreme Strom Pant [C]
ID_157_050	
IN_157_051	Dynamic Supreme Strom Shoes [C]
ID_157_051	
IN_157_052	Dynamic Supreme Strom Gloves [C]
ID_157_052	
IN_157_053	Dynamic Ultimate Supreme Storm Shirt
ID_157_053	
IN_157_054	Dynamic Ultimate Supreme Storm Pant
ID_157_054	
IN_157_055	Dynamic Ultimate Supreme Storm Shoes
ID_157_055	
IN_157_056	Dynamic Ultimate Supreme Storm Gloves
ID_157_056	
IN_157_057	Dynamic Advance Supreme Storm Shirt
ID_157_057	
IN_157_058	Dynamic Advance Supreme Storm Pant
ID_157_058	
IN_157_059	Dynamic Advance Supreme Storm Shoes
ID_157_059	
IN_157_060	Dynamic Advance Supreme Storm Gloves
ID_157_060	
IN_157_101	Enhanced Supreme Brook Shirt [C]
ID_157_101	
IN_157_102	Enhanced Supreme Brook Pants [C]
ID_157_102	
IN_157_103	Enhanced Supreme Brook Shoes [C]
ID_157_103	
IN_157_104	Enhanced Supreme Brook Gloves [C]
ID_157_104	
IN_157_105	Enhanced Supreme Brook Shirt [B]
ID_157_105	
IN_157_106	Enhanced Supreme Brook Pants [B]
ID_157_106	
IN_157_107	Enhanced Supreme Brook Shoes [B]
ID_157_107	
IN_157_108	Enhanced Supreme Brook Gloves [B]
ID_157_108	
IN_157_109	Enhanced Supreme Brook Shirt [A]
ID_157_109	
IN_157_110	Enhanced Supreme Brook Pants [A]
ID_157_110	
IN_157_111	Enhanced Supreme Brook Shoes [A]
ID_157_111	
IN_157_112	Enhanced Supreme Brook Gloves [A]
ID_157_112	
IN_157_113	Enhanced Supreme Reider Shirt [C]
ID_157_113	
IN_157_114	Enhanced Supreme Reider Pant [C]
ID_157_114	
IN_157_115	Enhanced Supreme Reider Shoes [C]
ID_157_115	
IN_157_116	Enhanced Supreme Reider Gloves [C]
ID_157_116	
IN_157_117	Enhanced Supreme Reider Shirt [B]
ID_157_117	
IN_157_118	Enhanced Supreme Reider Pant [B]
ID_157_118	
IN_157_119	Enhanced Supreme Reider Shoes [B]
ID_157_119	
IN_157_120	Enhanced Supreme Reider Gloves [B]
ID_157_120	
IN_157_121	Enhanced Supreme Reider Shirt [A]
ID_157_121	
IN_157_122	Enhanced Supreme Reider Pant [A]
ID_157_122	
IN_157_123	Enhanced Supreme Reider Shoes [A]
ID_157_123	
IN_157_124	Enhanced Supreme Reider Gloves [A]
ID_157_124	
IN_157_125	Enhanced Supreme Jeru Shirt [C]
ID_157_125	
IN_157_126	Enhanced Supreme Jeru Pant [C]
ID_157_126	
IN_157_127	Enhanced Supreme Jeru Shoes [C]
ID_157_127	
IN_157_128	Enhanced Supreme Jeru Gloves [C]
ID_157_128	
IN_157_129	Enhanced Supreme Jeru Shirt [B]
ID_157_129	
IN_157_130	Enhanced Supreme Jeru Pant [B]
ID_157_130	
IN_157_131	Enhanced Supreme Jeru Shoes [B]
ID_157_131	
IN_157_132	Enhanced Supreme Jeru Gloves [B]
ID_157_132	
IN_157_133	Enhanced Supreme Jeru Shirt [A]
ID_157_133	
IN_157_134	Enhanced Supreme Jeru Pant [A]
ID_157_134	
IN_157_135	Enhanced Supreme Jeru Shoes [A]
ID_157_135	
IN_157_136	Enhanced Supreme Jeru Gloves [A]
ID_157_136	
IN_157_137	Enhanced Supreme Azrael Shirt [C]
ID_157_137	
IN_157_138	Enhanced Supreme Azrael Pant [C]
ID_157_138	
IN_157_139	Enhanced Supreme Azrael Shoes [C]
ID_157_139	
IN_157_140	Enhanced Supreme Azrael Gloves [C]
ID_157_140	
IN_157_141	Enhanced Supreme Azrael Shirt [B]
ID_157_141	
IN_157_142	Enhanced Supreme Azrael Pant [B]
ID_157_142	
IN_157_143	Enhanced Supreme Azrael Shoes [B]
ID_157_143	
IN_157_144	Enhanced Supreme Azrael Gloves [B]
ID_157_144	
IN_157_145	Enhanced Supreme Azrael Shirt [A]
ID_157_145	
IN_157_146	Enhanced Supreme Azrael Pant [A]
ID_157_146	
IN_157_147	Enhanced Supreme Azrael Shoes [A]
ID_157_147	
IN_157_148	Enhanced Supreme Azrael Gloves [A]
ID_157_148	
IN_157_149	Enhanced Supreme Strom Shirt [C]
ID_157_149	
IN_157_150	Enhanced Supreme Strom Pant [C]
ID_157_150	
IN_157_151	Enhanced Supreme Strom Shoes [C]
ID_157_151	
IN_157_152	Enhanced Supreme Strom Gloves [C]
ID_157_152	
IN_157_153	Enhanced Ultimate Supreme Storm Shirt
ID_157_153	
IN_157_154	Enhanced Ultimate Supreme Storm Pant
ID_157_154	
IN_157_155	Enhanced Ultimate Supreme Storm Shoes
ID_157_155	
IN_157_156	Enhanced Ultimate Supreme Storm Gloves
ID_157_156	
IN_157_157	Enhanced Advance Supreme Storm Shirt
ID_157_157	
IN_157_158	Enhanced Advance Supreme Storm Pant
ID_157_158	
IN_157_159	Enhanced Advance Supreme Storm Shoes
ID_157_159	
IN_157_160	Enhanced Advance Supreme Storm Gloves
ID_157_160	
IN_158_000	GT
ID_158_000	
IN_158_001	GT Honor Ganjang Sword
ID_158_001	
IN_158_002	GT Honor Kitchen Blade
ID_158_002	
IN_158_003	GT Honor Lite Tian Wu Sword
ID_158_003	
IN_158_004	GT Honor Xuan Wu Gauntlet
ID_158_004	
IN_158_005	GT Honor Heavy Silver Gauntlet
ID_158_005	
IN_158_006	GT Honor Lite Xuan Wu Glv
ID_158_006	
IN_158_007	GT Honor Upgraded Horn Bow
ID_158_007	
IN_158_008	GT Honor Upgraded  Genie Bow
ID_158_008	
IN_158_009	GT Honor Lite Upgraded Genie Bow
ID_158_009	
IN_158_010	GT Honor Mystical Spear
ID_158_010	
IN_158_011	GT Honor Deadly Spirit Wand
ID_158_011	
IN_158_012	GT_Jacket
ID_158_012	
IN_158_022	Supreme Solar Sword
ID_158_022	
IN_158_023	Supreme Xuan Wu Blade
ID_158_023	
IN_158_024	Supreme Light White Tiger Sword
ID_158_024	
IN_158_025	Supreme Light ZhuQue Sword
ID_158_025	
IN_158_026	Supreme Solar Glove
ID_158_026	
IN_158_027	Supreme Heavy Xuan Wu Glove
ID_158_027	
IN_158_028	Supreme Xuan Wu Wand
ID_158_028	
IN_158_029	Supreme ZhuQue Wand
ID_158_029	
IN_158_030	Supreme Solar Spear
ID_158_030	
IN_158_031	Supreme Solar Bow
ID_158_031	
IN_158_032	Supreme ZhuQue Long Bow
ID_158_032	
IN_158_033	Ancient Gaunt Of XuanWu
ID_158_033	
IN_158_034	Ancient Long Bow Of Phoenix
ID_158_034	
IN_158_111	GT_Philippine_Cap
ID_158_111	
IN_158_112	GT_Philippine_Jacket
ID_158_112	
IN_158_113	GT_Philippine_Pants
ID_158_113	
IN_158_114	GT_Philippine_Shoes
ID_158_114	
IN_158_115	GT_Philippines_Uniform
ID_158_115	
IN_158_131	Rapid Soul Crasher
ID_158_131	
IN_158_132	Mighty Soul Crasher
ID_158_132	
IN_158_133	Illusion Soul Crasher
ID_158_133	
IN_158_134	Rapid Beast Blaster
ID_158_134	
IN_158_135	Mighty Beast Blaster
ID_158_135	
IN_158_136	Illusion Beast Blaster
ID_158_136	
IN_158_137	Rapid Dark Sniper
ID_158_137	
IN_158_138	Mighty Dark Sniper
ID_158_138	
IN_158_139	Rapid Shadow Breaker
ID_158_139	
IN_158_140	Mighty Shadow Breaker
ID_158_140	
IN_158_141	Illusion Shadow Breaker
ID_158_141	
IN_158_142	Rapid Shade ShotGun
ID_158_142	
IN_158_143	Mighy Shade PotalGun
ID_158_143	
IN_158_144	Illusion Shade RailGun
ID_158_144	
IN_158_145	Rapid Psyche DualSpear
ID_158_145	
IN_158_146	Mighty Psyche Shuriken 
ID_158_146	
IN_158_147	Illusion Psyche Scthy
ID_158_147	
IN_158_151	ExtremeBeauty_Earing
ID_158_151	
IN_158_152	ExtremeBeauty_Jacket
ID_158_152	
IN_158_153	ExtremeBeauty_Skirt
ID_158_153	
IN_158_154	ExtremeBeauty_Shoes
ID_158_154	
IN_158_155	ExtremeBeauty_Ribbon
ID_158_155	
IN_158_156	ExtremeBeauty_Glass
ID_158_156	
IN_158_157	ExtremeBeauty_Jacket
ID_158_157	
IN_158_158	ExtremeBeauty_Pants
ID_158_158	
IN_158_159	ExtremeBeauty_Shoes
ID_158_159	
IN_158_160	ExtremeBeauty_WatchHand
ID_158_160	
IN_158_161	ExtremeBeauty_Girl
ID_158_161	
IN_158_162	ExtremeBeauty_Boy
ID_158_162	
IN_159_000	IN_159_000
ID_159_000	
IN_159_001	Dynamic Supreme Solar Sword
ID_159_001	
IN_159_002	Supreme Solar Sword[Fire]
ID_159_002	
IN_159_003	Supreme Solar Sword[Electric]
ID_159_003	
IN_159_004	Supreme Solar Sword[Ice]
ID_159_004	
IN_159_005	Supreme Solar Sword[Poison]
ID_159_005	
IN_159_006	Supreme Solar Sword[Stone]
ID_159_006	
IN_159_007	Supreme Solar Sword[Blaze]
ID_159_007	
IN_159_008	Supreme Solar Sword[Lightning]
ID_159_008	
IN_159_009	Supreme Solar Sword[Glacier]
ID_159_009	
IN_159_010	Supreme Solar Sword[Venom]
ID_159_010	
IN_159_011	Supreme Solar Sword[Flint]
ID_159_011	
IN_159_012	Dynamic Supreme Xuan Wu Blade
ID_159_012	
IN_159_013	Supreme Xuan Wu Blade[Fire]
ID_159_013	
IN_159_014	Supreme Xuan Wu Blade[Electric]
ID_159_014	
IN_159_015	Supreme Xuan Wu Blade[Ice]
ID_159_015	
IN_159_016	Supreme Xuan Wu Blade[Poison]
ID_159_016	
IN_159_017	Supreme Xuan Wu Blade[Stone]
ID_159_017	
IN_159_018	Supreme Xuan Wu Blade[Blaze]
ID_159_018	
IN_159_019	Supreme Xuan Wu Blade[Lightning]
ID_159_019	
IN_159_020	Supreme Xuan Wu Blade[Glacier]
ID_159_020	
IN_159_021	Supreme Xuan Wu Blade[Venom]
ID_159_021	
IN_159_022	Supreme Xuan Wu Blade[Flint]
ID_159_022	
IN_159_023	Dynamic Supreme Light White Tiger Sword
ID_159_023	
IN_159_024	Supreme Light White Tiger Sword[Fire]
ID_159_024	
IN_159_025	Supreme Light White Tiger Sword[Electric]
ID_159_025	
IN_159_026	Supreme Light White Tiger Sword[Ice]
ID_159_026	
IN_159_027	Supreme Light White Tiger Sword[Poison]
ID_159_027	
IN_159_028	Supreme Light White Tiger Sword[Stone]
ID_159_028	
IN_159_029	Supreme Light White Tiger Sword[Blaze]
ID_159_029	
IN_159_030	Supreme Light White Tiger Sword[Lightning]
ID_159_030	
IN_159_031	Supreme Light White Tiger Sword[Glacier]
ID_159_031	
IN_159_032	Supreme Light White Tiger Sword[Venom]
ID_159_032	
IN_159_033	Supreme Light White Tiger Sword[Flint]
ID_159_033	
IN_159_034	Dynamic Supreme ZhuQue Sword
ID_159_034	
IN_159_035	Supreme ZhuQue Sword[Fire]
ID_159_035	
IN_159_036	Supreme ZhuQue Sword[Electric]
ID_159_036	
IN_159_037	Supreme ZhuQue Sword[Ice]
ID_159_037	
IN_159_038	Supreme ZhuQue Sword[Poison]
ID_159_038	
IN_159_039	Supreme ZhuQue Sword[Stone]
ID_159_039	
IN_159_040	Supreme ZhuQue Sword[Blaze]
ID_159_040	
IN_159_041	Supreme ZhuQue Sword[Lightning]
ID_159_041	
IN_159_042	Supreme ZhuQue Sword[Glacier]
ID_159_042	
IN_159_043	Supreme ZhuQue Sword[Venom]
ID_159_043	
IN_159_044	Supreme ZhuQue Sword[Flint]
ID_159_044	
IN_159_045	Dynamic Supreme Solar Gauntlet
ID_159_045	
IN_159_046	Supreme Solar Gauntlet [Fire]
ID_159_046	
IN_159_047	Supreme Solar Gauntlet [Electric]
ID_159_047	
IN_159_048	Supreme Solar Gauntlet [Ice]
ID_159_048	
IN_159_049	Supreme Solar Gauntlet [Poison]
ID_159_049	
IN_159_050	Supreme Solar Gauntlet [Stone]
ID_159_050	
IN_159_051	Supreme Solar Gauntlet [Blaze]
ID_159_051	
IN_159_052	Supreme Solar Gauntlet [Lightning]
ID_159_052	
IN_159_053	Supreme Solar Gauntlet [Glacier]
ID_159_053	
IN_159_054	Supreme Solar Gauntlet [Venom]
ID_159_054	
IN_159_055	Supreme Solar Gauntlet [Flint]
ID_159_055	
IN_159_056	Dynamic Supreme Heavy Xuan Wu Gauntlet
ID_159_056	
IN_159_057	Supreme Heavy Xuan Wu Gauntlet [Fire]
ID_159_057	
IN_159_058	Supreme Heavy Xuan Wu Gauntlet [Electric]
ID_159_058	
IN_159_059	Supreme Heavy Xuan Wu Gauntlet [Ice]
ID_159_059	
IN_159_060	Supreme Heavy Xuan Wu Gauntlet [Poison]
ID_159_060	
IN_159_061	Supreme Heavy Xuan Wu Gauntlet [Stone]
ID_159_061	
IN_159_062	Supreme Heavy Xuan Wu Gauntlet [Blaze]
ID_159_062	
IN_159_063	Supreme Heavy Xuan Wu Gauntlet [Lightning]
ID_159_063	
IN_159_064	Supreme Heavy Xuan Wu Gauntlet [Glacier]
ID_159_064	
IN_159_065	Supreme Heavy Xuan Wu Gauntlet [Venom]
ID_159_065	
IN_159_066	Supreme Heavy Xuan Wu Gauntlet [Flint]
ID_159_066	
IN_159_067	Dynamic Supreme Xuan Wu Wand
ID_159_067	
IN_159_068	Supreme Xuan Wu Wand[Fire]
ID_159_068	
IN_159_069	Supreme Xuan Wu Wand[Electric]
ID_159_069	
IN_159_070	Supreme Xuan Wu Wand[Ice]
ID_159_070	
IN_159_071	Supreme Xuan Wu Wand[Poison]
ID_159_071	
IN_159_072	Supreme Xuan Wu Wand[Stone]
ID_159_072	
IN_159_073	Supreme Xuan Wu Wand[Blaze]
ID_159_073	
IN_159_074	Supreme Xuan Wu Wand[Lightning]
ID_159_074	
IN_159_075	Supreme Xuan Wu Wand[Glacier]
ID_159_075	
IN_159_076	Supreme Xuan Wu Wand[Venom]
ID_159_076	
IN_159_077	Supreme Xuan Wu Wand[Flint]
ID_159_077	
IN_159_078	Dynamic Supreme ZhuQue Wand
ID_159_078	
IN_159_079	Supreme ZhuQue Wand[Fire]
ID_159_079	
IN_159_080	Supreme ZhuQue Wand[Electric]
ID_159_080	
IN_159_081	Supreme ZhuQue Wand[Ice]
ID_159_081	
IN_159_082	Supreme ZhuQue Wand[Poison]
ID_159_082	
IN_159_083	Supreme ZhuQue Wand[Stone]
ID_159_083	
IN_159_084	Supreme ZhuQue Wand[Blaze]
ID_159_084	
IN_159_085	Supreme ZhuQue Wand[Lightning]
ID_159_085	
IN_159_086	Supreme ZhuQue Wand[Glacier]
ID_159_086	
IN_159_087	Supreme ZhuQue Wand[Venom]
ID_159_087	
IN_159_088	Supreme ZhuQue Wand[Flint]
ID_159_088	
IN_159_089	Dynamic Supreme Solar Spear
ID_159_089	
IN_159_090	Supreme Solar Spear[Fire]
ID_159_090	
IN_159_091	Supreme Solar Spear[Electric]
ID_159_091	
IN_159_092	Supreme Solar Spear[Ice]
ID_159_092	
IN_159_093	Supreme Solar Spear[Poison]
ID_159_093	
IN_159_094	Supreme Solar Spear[Stone]
ID_159_094	
IN_159_095	Supreme Solar Spear[Blaze]
ID_159_095	
IN_159_096	Supreme Solar Spear[Lightning]
ID_159_096	
IN_159_097	Supreme Solar Spear[Glacier]
ID_159_097	
IN_159_098	Supreme Solar Spear[Venom]
ID_159_098	
IN_159_099	Supreme Solar Spear[Flint]
ID_159_099	
IN_159_100	Dynamic Supreme Solar Bow
ID_159_100	
IN_159_101	Supreme Solar Bow[Fire]
ID_159_101	
IN_159_102	Supreme Solar Bow[Electric]
ID_159_102	
IN_159_103	Supreme Solar Bow[Ice]
ID_159_103	
IN_159_104	Supreme Solar Bow[Poison]
ID_159_104	
IN_159_105	Supreme Solar Bow[Stone]
ID_159_105	
IN_159_106	Supreme Solar Bow[Blaze]
ID_159_106	
IN_159_107	Supreme Solar Bow[Lightning]
ID_159_107	
IN_159_108	Supreme Solar Bow[Glacier]
ID_159_108	
IN_159_109	Supreme Solar Bow[Venom]
ID_159_109	
IN_159_110	Supreme Solar Bow[Flint]
ID_159_110	
IN_159_111	Dynamic Supreme ZhuQue Long Bow
ID_159_111	
IN_159_112	Supreme ZhuQue Long Bow[Fire]
ID_159_112	
IN_159_113	Supreme ZhuQue Long Bow[Electric]
ID_159_113	
IN_159_114	Supreme ZhuQue Long Bow[Ice]
ID_159_114	
IN_159_115	Supreme ZhuQue Long Bow[Poison]
ID_159_115	
IN_159_116	Supreme ZhuQue Long Bow[Stone]
ID_159_116	
IN_159_117	Supreme ZhuQue Long Bow[Blaze]
ID_159_117	
IN_159_118	Supreme ZhuQue Long Bow[Lightning]
ID_159_118	
IN_159_119	Supreme ZhuQue Long Bow[Glacier]
ID_159_119	
IN_159_120	Supreme ZhuQue Long Bow[Venom]
ID_159_120	
IN_159_121	Supreme ZhuQue Long Bow[Flint]
ID_159_121	
IN_159_122	Supreme Solar Sword [Faint] (30D)
ID_159_122	
IN_159_123	Supreme Xuan Wu Blade [Faint] (30D)
ID_159_123	
IN_159_124	Supreme Solar Gauntlet [Faint] (30D)
ID_159_124	
IN_159_125	Supreme Heavy Xuan Wu Gauntlet [Faint] (30D)
ID_159_125	
IN_159_126	Supreme Xuan Wu Wand[Faint] (30D)
ID_159_126	
IN_159_127	Supreme ZhuQue Wand[Faint] (30D)
ID_159_127	
IN_159_128	Supreme Solar Bow[Faint] (30D)
ID_159_128	
IN_159_129	Supreme ZhuQue Long Bow[Faint] (30D)
ID_159_129	
IN_159_156	Dynamic Ancient Gaunt Of XuanWu
ID_159_156	
IN_159_157	Ancient Gaunt Of XuanWu[Fire]
ID_159_157	
IN_159_158	Ancient Gaunt Of XuanWu[Electric]
ID_159_158	
IN_159_159	Ancient Gaunt Of XuanWu[Ice]
ID_159_159	
IN_159_160	Ancient Gaunt Of XuanWu[Poison]
ID_159_160	
IN_159_161	Ancient Gaunt Of XuanWu[Stone]
ID_159_161	
IN_159_162	Ancient Gaunt Of XuanWu[Blaze]
ID_159_162	
IN_159_163	Ancient Gaunt Of XuanWu[Lightning]
ID_159_163	
IN_159_164	Ancient Gaunt Of XuanWu[Glacier]
ID_159_164	
IN_159_165	Ancient Gaunt Of XuanWu[Venom]
ID_159_165	
IN_159_166	Ancient Gaunt Of XuanWu[Flint]
ID_159_166	
IN_159_211	Dynamic Ancient Long Bow Of Phoenix
ID_159_211	
IN_159_212	Ancient Long Bow Of Phoenix [Fire]
ID_159_212	
IN_159_213	Ancient Long Bow Of Phoenix [Electric]
ID_159_213	
IN_159_214	Ancient Long Bow Of Phoenix [Ice]
ID_159_214	
IN_159_215	Ancient Long Bow Of Phoenix [Poison]
ID_159_215	
IN_159_216	Ancient Long Bow Of Phoenix [Stone]
ID_159_216	
IN_159_217	Ancient Long Bow Of Phoenix [Blaze]
ID_159_217	
IN_159_218	Ancient Long Bow Of Phoenix [Lightning]
ID_159_218	
IN_159_219	Ancient Long Bow Of Phoenix [Glacier]
ID_159_219	
IN_159_220	Ancient Long Bow Of Phoenix [Venom]
ID_159_220	
IN_159_221	Ancient Long Bow Of Phoenix [Flint]
ID_159_221	
IN_160_000	Costume
ID_160_000	
IN_160_001	Summer Passion M(Shirt)(1D)
ID_160_001	
IN_160_002	Summer Passion M(Pant)(1D)
ID_160_002	
IN_160_003	Summer Passion M(Shoe)(1D)
ID_160_003	
IN_160_004	Musician Wear(Shirt)(1D)
ID_160_004	
IN_160_005	Musician Wear(Pant)(1D)
ID_160_005	
IN_160_006	Musician Wear(Shoe)(1D)
ID_160_006	
IN_160_007	Apple Pie Wear(Shirt)(1D)
ID_160_007	
IN_160_008	Apple Pie Wear(Pant)(1D)
ID_160_008	
IN_160_009	Apple Pie Wear(Shoe)(1D)
ID_160_009	
IN_160_010	Caribbean Wear(Shirt)(1D)
ID_160_010	
IN_160_011	Caribbean Wear(Pant)(1D)
ID_160_011	
IN_160_012	Caribbean Wear(Shoe)(1D)
ID_160_012	
IN_160_013	Punk Style Wear(Shirt)(1D)
ID_160_013	
IN_160_014	Punk Style Wear(Pant)(1D)
ID_160_014	
IN_160_015	Punk Style Wear(Shoe)(1D)
ID_160_015	
IN_160_016	Mediterranean Stylish(Shirt)(1D)
ID_160_016	
IN_160_017	Mediterranean Stylish(Pant)(1D)
ID_160_017	
IN_160_018	Mediterranean Stylish(Shoe)(1D)
ID_160_018	
IN_160_019	Summer Passion F(Shirt)(1D)
ID_160_019	
IN_160_020	Summer Passion F(Pant)(1D)
ID_160_020	
IN_160_021	Summer Passion F(Shoe)(1D)
ID_160_021	
IN_160_022	Phantom Wear(Shirt)(1D)
ID_160_022	
IN_160_023	Phantom Wear(Pants)(1D)
ID_160_023	
IN_160_024	Phantom Wear(Shoe)(1D)
ID_160_024	
IN_160_025	Pinky Wear(Shirt)(1D)
ID_160_025	
IN_160_026	Pinky Wear(Pant)(1D)
ID_160_026	
IN_160_027	Pinky Wear(Shoe)(1D)
ID_160_027	
IN_160_028	Bohemia Stylish(Shirt)(1D)
ID_160_028	
IN_160_029	Bohemia Stylish(Pant)(1D)
ID_160_029	
IN_160_030	Bohemia Stylish(Shoe)(1D)
ID_160_030	
IN_160_031	Summer Fervor Wear(Shirt)(1D)
ID_160_031	
IN_160_032	Summer Fervor Wear(Pant)(1D)
ID_160_032	
IN_160_033	Summer Fervor Wear(Shoe)(1D)
ID_160_033	
IN_160_034	Dynamic Wear M(Shirt)(1D)
ID_160_034	
IN_160_035	Dynamic Wear M(Pant)(1D)
ID_160_035	
IN_160_036	Dynamic Wear M(Shoe)(1D)
ID_160_036	
IN_160_037	Neighborhood Wear M(Shirt)(1D)
ID_160_037	
IN_160_038	Neighborhood Wear M(Pant)(1D)
ID_160_038	
IN_160_039	Neighborhood Wear M(Shoe)(1D)
ID_160_039	
IN_160_040	Casual Combat Wear M(Shirt)(1D)
ID_160_040	
IN_160_041	Casual Combat Wear M(Pant)(1D)
ID_160_041	
IN_160_042	Casual Combat Wear M(Shoe)(1D)
ID_160_042	
IN_160_043	Dynamic Wear F(Shirt)(1D)
ID_160_043	
IN_160_044	Dynamic Wear F(Pant)(1D)
ID_160_044	
IN_160_045	Dynamic Wear F(Shoe)(1D)
ID_160_045	
IN_160_046	Neighborhood Suit F(Shirt)(1D)
ID_160_046	
IN_160_047	Neighborhood Suit F(Pant)(1D)
ID_160_047	
IN_160_048	Neighborhood Suit F(Shoe)(1D)
ID_160_048	
IN_160_049	Casual Combat Wear F(Shirt)(1D)
ID_160_049	
IN_160_050	Casual Combat Wear F(Pant)(1D)
ID_160_050	
IN_160_051	Casual Combat Wear F(Shoe)(1D)
ID_160_051	
IN_160_052	Salimoon Wear(Shirt)(1D)
ID_160_052	
IN_160_053	Salimoon Wear(Skirt)(1D)
ID_160_053	
IN_160_054	Salimoon Wear(Shoe)(1D)
ID_160_054	
IN_160_055	Summer Passion M(1D)
ID_160_055	
IN_160_056	Musician Wear M(1D)
ID_160_056	
IN_160_057	Apple Pie Wear M(1D)
ID_160_057	
IN_160_058	Caribbean Wear M(1D)
ID_160_058	
IN_160_059	Punk Style Wear M(1D)
ID_160_059	
IN_160_060	Mediterranean Stylish M(1D)
ID_160_060	
IN_160_061	Dynamic Wear M(1D)
ID_160_061	
IN_160_062	Neighborhood Wear M(1D)
ID_160_062	
IN_160_063	Casual Combat Wear M(1D)
ID_160_063	
IN_160_064	Summer Passion F(1D)
ID_160_064	
IN_160_065	Phantom Wear F(1D)
ID_160_065	
IN_160_066	Pinky Wear F(1D)
ID_160_066	
IN_160_067	Bohemia Stylish F(1D)
ID_160_067	
IN_160_068	e-Gamer Girl(1D)
ID_160_068	
IN_160_069	Dynamic Wear F(1D)
ID_160_069	
IN_160_070	Neighborhood Suit F(1D)
ID_160_070	
IN_160_071	Casual Combat Wear F(1D)
ID_160_071	
IN_160_072	Salimoon Wear F(1D)
ID_160_072	
IN_160_073	Summer Passion M(Shirt)(7D)
ID_160_073	
IN_160_074	Summer Passion M(Pant)(7D)
ID_160_074	
IN_160_075	Summer Passion M(Shoe)(7D)
ID_160_075	
IN_160_076	Musician Wear(Shirt)(7D)
ID_160_076	
IN_160_077	Musician Wear(Pant)(7D)
ID_160_077	
IN_160_078	Musician Wear(Shoe)(7D)
ID_160_078	
IN_160_079	Apple Pie Wear(Shirt)(7D)
ID_160_079	
IN_160_080	Apple Pie Wear(Pant)(7D)
ID_160_080	
IN_160_081	Apple Pie Wear(Shoe)(7D)
ID_160_081	
IN_160_082	Caribbean Wear(Shirt)(7D)
ID_160_082	
IN_160_083	Caribbean Wear(Pant)(7D)
ID_160_083	
IN_160_084	Caribbean Wear(Shoe)(7D)
ID_160_084	
IN_160_085	Punk Style Wear(Shirt)(7D)
ID_160_085	
IN_160_086	Punk Style Wear(Pant)(7D)
ID_160_086	
IN_160_087	Punk Style Wear(Shoe)(7D)
ID_160_087	
IN_160_088	Mediterranean Stylish(Shirt)(7D)
ID_160_088	
IN_160_089	Mediterranean Stylish(Pant)(7D)
